序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元]
207,滴滴快车,06-22 21:25 周二,北京市,外馆东街23号院-西门,地铁19号线一期;地铁4号线大兴线;地铁6号线平安里-地铁站|…,6.7,27.56
208,滴滴快车,06-22 22:32 周二,北京市,兴华大街|世纪华联生活超市枣园店,观音寺小区25号楼,4.46,15.25
209,滴滴快车,06-24 23:03 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,16.25
210,滴滴快车,06-25 18:25 周五,北京市,五道口|清华同方科技广场-东门,新街口地铁站A口,9.6,32.96
211,滴滴快车,06-25 19:51 周五,北京市,兴华大街|枣园地铁站A口附近-上车点,大兴区|首开康乃馨城-东门,1.8,14
212,滴滴快车,06-26 09:43 周六,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.7,21.23
213,滴滴快车,06-26 21:56 周六,北京市,兴华大街|枣园尚城南区-东门,观音寺小区25号楼,4.6,17.55
214,滴滴快车,06-27 14:24 周日,北京市,观音寺-北门,兴华大街|咖啡一色,4,14.76
215,滴滴快车,06-27 21:07 周日,北京市,兴华大街|枣园尚城南区-北门,观音寺小区25号楼,4.6,17.55
216,滴滴快车,06-28 09:26 周一,北京市,观音寺-北门,大兴区|首开康乃馨城30号院19号楼,5.6,19.89
217,滴滴快车,06-28 13:29 周一,北京市,首开康乃馨城30号院19号楼东侧-上车点,兴华大街|枣园尚城南区-北门,2.5,13
218,滴滴快车,06-28 20:21 周一,北京市,明光村西站-公交站路南,前门|无印良品酒店(北京坊店),10.6,37.94
219,滴滴快车,06-29 13:04 周二,北京市,黄村西大街地铁站A口,观音寺小区25号楼,2.4,15
220,滴滴快车,07-02 18:16 周五,北京市,观音寺-北门,地铁4号线大兴线|枣园-地铁站,4,20.68
221,滴滴快车,07-02 21:35 周五,北京市,兴华大街|世纪华联生活超市枣园店,观音寺小区25号楼,4.4,15.25
222,滴滴快车,07-04 12:20 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.36,12.62
223,滴滴快车,07-06 17:23 周二,北京市,观音寺-北门,黄村火车站地铁站B口附近-下车点,2.32,9.77
224,滴滴快车,07-06 22:16 周二,北京市,外馆东街23号院-西门,新街口|平安里地铁站A口,6.55,16.44
225,滴滴快车,07-06 23:26 周二,北京市,兴华大街|世纪华联生活超市枣园店,观音寺小区25号楼,4.31,10.4
226,滴滴快车,07-07 17:30 周三,北京市,观音寺-北门,大兴区|山姆大叔(天健广场校区),5.38,20.97
227,滴滴快车,07-07 18:38 周三,北京市,枣园路|山姆大叔(天健广场校区),北京市大兴区清源街道枣园巷枣园尚城南区北门|枣园尚城南区-北门,1.2,12.57
228,滴滴快车,07-07 20:56 周三,北京市,兴华大街|枣园尚城南区-东门,观音寺小区25号楼,4.61,16.97
229,滴滴快车,07-08 16:03 周四,北京市,观音寺-北门,兴华大街|高米店北地铁站A口,6.76,18.09
230,滴滴快车,07-08 16:23 周四,北京市,兴华大街|高米店北地铁站A口附近-上车点,黄村|花筑·华兴酒店,4.55,16.1
231,滴滴快车,07-09 14:06 周五,北京市,黄村|花筑·北京华兴酒店-东门,观音寺小区25号楼,1.86,11.57
232,滴滴快车,07-11 13:23 周日,北京市,观音寺-北门,兴华大街|北京印刷学院-东门,3.4,15.8
233,滴滴快车,07-13 12:24 周二,北京市,观音寺-北门,黄村西大街-地铁站,1.7,13
